frame,bbox_x,bbox_y,bbox_w,bbox_h
frame_000450.PNG,1186.34,242.18,41.39,92.53
frame_000450.PNG,1247.98,439.8,54.05,179.46
frame_000450.PNG,803.05,263.87,35.53,91.41
frame_000450.PNG,722.74,607.9,71.15,195.56
frame_000451.PNG,1189.53,241.14,39.04,93.96
frame_000451.PNG,724.21,603.39,80.47,198.89
frame_000451.PNG,1248.38,440.31,53.61,178.67
frame_000451.PNG,803.67,263.46,35.79,91.88
frame_000452.PNG,1248.39,440.33,53.6,178.65
frame_000452.PNG,1189.52,241.15,39.03,93.95
frame_000452.PNG,724.2,603.4,80.46,198.79
frame_000452.PNG,803.68,263.44,35.78,91.9
frame_000453.PNG,804.8,263.43,35.53,92.16
frame_000453.PNG,1192.91,239.97,36.86,92.95
frame_000453.PNG,719.96,599.18,93.8,206.35
frame_000453.PNG,1249.91,441.08,52.55,178.4
frame_000454.PNG,805.26,263.28,35.57,92.7
frame_000454.PNG,716.93,594.63,108.93,207.8
frame_000454.PNG,1251.97,442.52,51.82,178.05
frame_000454.PNG,1194.33,240.4,37.75,91.84
frame_000455.PNG,805.69,263.16,35.47,93.12
frame_000455.PNG,1251.94,447.84,53.3,177.23
frame_000455.PNG,715.72,591.48,102.21,208.33
frame_000455.PNG,1194.33,241.02,41.76,90.17
frame_000456.PNG,806.31,262.51,35.13,93.77
frame_000456.PNG,716.09,588.37,81.11,208.66
frame_000456.PNG,1251.8,452.52,54.73,175.27
frame_000456.PNG,1193.58,242.49,47.59,89.18
frame_000457.PNG,715.85,586.9,73.82,207.74
frame_000457.PNG,1250.94,452.07,55.55,175.18
frame_000457.PNG,806.59,261.91,34.97,93.88
frame_000457.PNG,1193.14,245.37,54.75,87.98
frame_000458.PNG,806.58,261.92,34.98,93.85
frame_000458.PNG,1193.13,245.42,54.77,87.92
frame_000458.PNG,715.82,586.42,73.86,207.35
frame_000458.PNG,1250.93,452.04,55.57,175.19
frame_000459.PNG,806.94,261.74,35.18,94.17
frame_000459.PNG,1249.49,451.64,56.6,173.99
frame_000459.PNG,1192.89,249.45,60.53,86.31
frame_000459.PNG,715.31,586.95,77.97,209.23
frame_000460.PNG,1248.62,446.61,56.28,177.49
frame_000460.PNG,715.7,588.13,80.54,208.26
frame_000460.PNG,807.16,261.87,35.11,93.96
frame_000460.PNG,1192.81,252.76,64.05,84.01
frame_000461.PNG,715.62,587.65,83.72,204.67
frame_000461.PNG,1248.68,442.75,55.05,178.54
frame_000461.PNG,1193.43,256.32,65.41,80.8
frame_000461.PNG,807.47,261.44,35.53,94.62
frame_000462.PNG,712.36,583.41,91.12,201.62
frame_000462.PNG,807.68,261.12,36.37,94.8
frame_000462.PNG,1248.41,439.89,54.05,179.33
frame_000462.PNG,1193.49,258.35,65.08,78.86
frame_000463.PNG,1195.32,258.05,65.9,79.59
frame_000463.PNG,1246.44,440.39,54.27,177.92
frame_000463.PNG,807.52,261.1,36.54,95.52
frame_000463.PNG,713.97,580.09,93.38,191.34
frame_000464.PNG,1195.32,258.04,65.88,79.58
frame_000464.PNG,714.02,580.13,93.35,191.28
frame_000464.PNG,1246.44,440.39,54.3,177.91
frame_000464.PNG,807.92,260.68,36.73,95.33
frame_000465.PNG,1197.9,257.74,67.93,79.9
frame_000465.PNG,1245.41,440.01,53.49,179.92
frame_000465.PNG,808.44,260.1,36.92,96.02
frame_000465.PNG,719.71,572.1,90.11,195.51
frame_000466.PNG,808.69,260.27,36.73,95.8
frame_000466.PNG,1204.03,257.9,65.51,80.09
frame_000466.PNG,723.65,566.42,87.99,200.03
frame_000466.PNG,1242.49,444.38,54.28,177.71
frame_000467.PNG,1213.05,259.54,59.4,78.92
frame_000467.PNG,1239.6,448.25,54.62,177.41
frame_000467.PNG,726.68,557.67,87.76,204.66
frame_000467.PNG,808.86,260.29,36.91,96.72
frame_000468.PNG,733.44,549.99,85.06,201.64
frame_000468.PNG,809.51,259.75,37.58,96.82
frame_000468.PNG,1237.96,450.18,54.79,176.18
frame_000468.PNG,1224.29,261.18,52.6,77.33
frame_000469.PNG,1239.13,261.85,42.97,75.94
frame_000469.PNG,1238.15,447.09,54.85,177.06
frame_000469.PNG,742.3,544.82,80.79,195.63
frame_000469.PNG,809.37,259.92,37.87,97.18
frame_000470.PNG,1238.24,262.57,42.96,75.94
frame_000470.PNG,809.36,259.92,37.87,97.17
frame_000470.PNG,1238.14,447.17,54.85,176.94
frame_000470.PNG,742.31,544.92,80.76,195.51
